,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
E_1_3_Julius_2_T2,Why are you here…,2,Darwin,Julius,2_MC_EI,3_MO_EO,,,,,
E_1_3_Darwin_3_T1,I’m here to help you~ Julius…,3,Darwin,Julius,15_MO_EI,3_MC_EI,,,,,
E_1_3_Darwin_3_T2,That’s what I’m here for…,4,Darwin,Julius,2_MO_EI,3_MC_EI,,,,,
E_1_3_Julius_4_T1,…,5,Darwin,Julius,2_MC_EI,21_MO_EI,,,,,
E_1_3_Julius_4_T2,You keep saying that…,6,Darwin,Julius,6_MC_EI,21_MO_EO,,,,,
E_1_3_Julius_4_T3,But…,7,Darwin,Julius,6_MC_EI,21_MO_EI,,,,,
E_1_3_Julius_4_T4,I don't believe you…,8,Darwin,Julius,5_MC_EI,21_MO_EO,,,,,
RedWally_Huh,Huh?!,9,Red,Wally,5_MO_EI,6_MO_EI,,,,,
E_1_3_Darwin_5_T1,Julius!,10,Darwin,Julius,5_MO_EI,21_MC_EI,,,,,
E_1_3_Darwin_5_T2,What do you Mean!,11,Darwin,Julius,5_MO_EI,21_MC_EO,,,,,
E_1_3_Julius_6_T1,You left me Darwin!,12,Darwin,Julius,12_MC_EI,9_MO_EI,,,,,
E_1_3_Julius_6_T2,I was left on my own!,13,Darwin,Julius,12_MC_EI,22_MO_EO,,,,,
E_1_3_Julius_6_T3,And you…,14,Darwin,Julius,12_MC_EI,3_MO_EO,,,,,
E_1_3_Julius_6_T4,You weren't there!,15,Darwin,Julius,5_MC_EI,7_MO_EI,,,,,
E_1_3_Julius_6_T5,For anything! ,16,Darwin,Julius,5_MC_EI,15_MO_EC,,,,,
E_1_3_Darwin_7_T1,Julius!,17,Darwin,Julius,5_MO_EI,7_MC_EI,,,,,
E_1_3_Darwin_7_T2, I-,18,Darwin,Julius,12_MO_EO,7_MC_EI,,,,,
E_1_3_Julius_8_T1,Darwin! ,19,Darwin,Julius,5_MC_EI,9_MO_EI,,,,,
E_1_3_Julius_8_T2,Stop!,20,Darwin,Julius,5_MC_EI,7_MO_EI,,,,,
E_1_3_Julius_8_T3,Just go away!,21,Darwin,Julius,6_MC_EI,15_MO_EC,,,,,
E_1_3_Red_9_T1,But~ your highness! ,22,Red,Julius,8_MO_EI,22_MC_EO,,,,,
E_1_3_Red_9_T2,Darwin is your friend!,23,Red,Julius,8_MO_EI,22_MC_EI,,,,,
E_1_3_Red_9_T3,He’s trying to help you.,24,Red,Julius,15_MO_EI,22_MC_EI,,,,,
E_1_3_Wally_10_T1,Exactly!,25,Wally,Julius,10_MO_EI,22_MC_EC,,,,,
E_1_3_Julius_11_T1,No! ,26,Wally,Julius,6_MC_EI,7_MO_EI,,,,,
E_1_3_Julius_11_T2,He’s not my friend! ,27,Wally,Julius,6_MC_EI,15_MO_EC,,,,,
E_1_3_Julius_11_T3,He left me!,28,Wally,Julius,7_MC_EI,7_MO_EI,,,,,
E_1_3_Julius_11_T4,Friends don't leave each other! ,29,Wally,Julius,7_MC_EI,15_MO_EC,,,,,
E_1_3_Red_12_T1,But Julius!,30,Red,Julius,8_MO_EI,7_MC_EI,,,,,
E_1_3_Red_12_T2,That’s not how friendship works.,31,Red,Julius,8_MO_EI,7_MC_EI,,,,,
E_1_3_Julius_13_T1,I don't want to hear it!,32,Red,Julius,5_MC_EI,7_MO_EI,,,,,
E_1_3_Julius_13_T2,Why won't you guys just take a hint!,33,Red,Julius,5_MC_EI,9_MO_EI,,,,,
E_1_3_Julius_13_T3,I just want to be left alone!,34,Red,Julius,8_MC_EI,15_MO_EC,,,,,
E_1_3_Wally_14_T1,But your highness! ,35,Wally,Julius,10_MO_EI,9_MC_EO,,,,,
E_1_3_Wally_14_T2,Won't you just hear Darwin out?,36,Wally,Julius,7_MO_EI,9_MC_EI,,,,,
E_1_3_Julius_15_T1,I don't want to hear anything he has to say…,37,Wally,Julius,7_MC_EI,21_MO_EO,,,,,
E_1_3_Darwin_16_T1,Julius…,38,Darwin,Julius,6_MO_EI,21_MC_EI,,,,,
E_1_3_Red_17_T1,Please Julius.,39,Red,Julius,7_MO_EI,21_MC_EI,,,,,
E_1_3_Red_17_T2,Just give Darwin a chance.,40,Red,Julius,8_MO_EI,21_MC_EI,,,,,
E_1_3_Julius_18_T1, …,41,Red,Julius,8_MC_EI,21_MC_EO,,,,,
E_1_3_Julius_18_T2,I'll tell you what.,42,Red,Julius,8_MC_EI,3_MO_EI,,,,,
E_1_3_Julius_18_T3,Let’s have one more round of challenges.,43,Red,Julius,8_MC_EI,1_MO_EI,,,,,
E_1_3_Julius_18_T4,I’ll only hear you out if you beat me!,44,Red,Julius,8_MC_EI,11_MO_EI,,,,,
E_1_3_Julius_18_T5,But please…,45,Red,Julius,8_MC_EI,3_MO_EI,,,,,
E_1_3_Julius_18_T6,If I win~ just go away…,46,Red,Julius,8_MC_EI,21_MO_EO,,,,,
E_1_3_Darwin_19_T1,...,47,Darwin,Julius,6_MC_EI,21_MC_EO,,,,,
E_1_3_Darwin_19_T2,Okay Julius.,48,Darwin,Julius,15_MO_EI,3_MC_EI,,,,,
RedWally_What,What??!,49,Red,Wally,5_MO_EI,6_MO_EI,,,,,
E_1_3_Red_20_T1,Are you sure Darwin?,50,Red,Wally,5_MO_EI,7_MC_EI,,,,,
E_1_3_Red_20_T2,You don’t have to prove yourself to him.,51,Red,Wally,8_MO_EI,7_MC_EI,,,,,
E_1_3_Wally_21_T1,They’re right~ Darwin. ,52,Red,Wally,8_MC_EI,7_MO_EI,,,,,
E_1_3_Darwin_22_T1,No it’s okay.,53,Red,Darwin,8_MC_EI,1_MO_EI,,,,,
E_1_3_Darwin_22_T2,I know that I don't have to prove myself to anyone. ,54,Red,Darwin,1_MC_EI,2_MO_EC,,,,,
E_1_3_Darwin_22_T3,But I want to do this~,55,Red,Darwin,1_MC_EI,2_MO_EI,,,,,
E_1_3_Darwin_22_T4,Thank you for looking out for me guys…,56,Red,Darwin,1_MC_EI,2_MO_EC,,,,,
E_1_3_Red_23_T1,Sigh,57,Red,Darwin,8_MO_EI,1_MC_EI,,,,,
E_1_3_Red_23_T2,Alright~ Darwin. ,58,Red,Darwin,2_MO_EI,2_MC_EI,,,,,
E_1_3_Red_23_T3,We will support you!,59,Red,Darwin,14_MO_EI,4_MC_EC,,,,,
E_1_3_Wally_24_T1,We’ve got your back!,60,Wally,Darwin,5_MO_EI,2_MC_EI,,,,,
E_1_3_Darwin_25_T1,Thank guys!,61,Wally,Darwin,4_MC_EI,4_MO_EC,,,,,
E_1_3_Darwin_25_T2,Okay Explorer.,62,Wally,Darwin,4_MC_EP,2_MO_EP,,,,,
E_1_3_Darwin_25_T3,You've helped us so much already.,63,Wally,Darwin,4_MC_EP,1_MO_EP,,,,,
E_1_3_Darwin_25_T4,I know we can count on you one last time.,64,Wally,Darwin,4_MC_EP,2_MO_EP,,,,,
E_1_3_Red_26_T1,He’s right~ Explorer!,65,Red,Darwin,2_MO_EP,2_MC_EP,,,,,
E_1_3_Red_26_T2,With your help~ I know we can do it!,66,Red,Darwin,14_MO_EP,2_MC_EC,,,,,
E_1_3_Wally_27_T1,Show them what you're made of!,67,Red,Wally,14_MC_EI,5_MO_EP,,,,,
E_1_3_Red_28_T1,Good luck~ Explorer!,68,Red,Wally,14_MO_EP,4_MC_EP,,,,,
E_1_3_Julius_29_T1,Let’s get this over with.,69,,Julius,,21_MO_EP,,,,,
,,,,,,,,,,,
$Title,BBChallenge_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_1_Julius_1_T1,Are you ready for the first challenge Explorer?,0,,Julius,,6_MO_EP,yes,goto1,goto2,,
E_2_1_Julius_1_T2,Let’s do this.,1,,Julius,,9_MO_EP,,,,yes,
E_2_1_Julius_1_T3,I’ll be waiting.,2,,Julius,,9_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,BBChallenge_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_1a_Julius_1_T1,Are you ready for your next challenge Explorer?,0,,Julius,,6_MO_EP,yes,goto1,goto2,,
E_2_1_Julius_1_T2,Let’s do this.,1,,Julius,,9_MO_EP,,,,yes,
E_2_1_Julius_1_T3,Hmph~ I’ll be waiting.,2,,Julius,,9_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,BBChallenge_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_1b_Julius_1_T1,Are you ready for the last challenge Explorer?,0,,Julius,,6_MO_EP,yes,goto1,goto2,,
E_2_1_Julius_1_T2,Let’s do this.,1,,Julius,,9_MO_EP,,,,yes,
E_2_1_Julius_1_T3,I’ll be waiting.,2,,Julius,,9_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,BBLose_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_2_Darwin_1_T1,Julius!,0,Darwin,Julius,6_MO_EI,2_MC_EI,,,,,
E_2_2_Darwin_1_T2,Wait!,1,Darwin,Julius,14_MO_EI,2_MC_EI,,,,,
E_2_2_Julius_2_T1,No Darwin!,2,Darwin,Julius,6_MC_EI,9_MO_EI,,,,,
E_2_2_Julius_2_T2,A deal is a deal.,3,Darwin,Julius,6_MC_EI,1_MO_EI,,,,,
E_2_2_Julius_2_T3,Come back and challenge me again when you’re ready.,4,Darwin,Julius,6_MC_EI,11_MO_EI,,,,,
E_2_2_Red_3_T1,Let’s go practice some more~ Explorer!,5,Red,Julius,14_MO_EP,1_MC_EI,,,,,
,,,,,,,,,,,
$Title,BBLose_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_2_Red_4_T1,Let’s go practice some more~ Explorer!,0,Red,,14_MO_EP,,,,,,
,,,,,,,,,,,
$Title,BBTryAgain_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_3_Julius_1_T1,Are you ready to challenge me?,0,,Julius,,6_MO_EP,yes,goto3,goto1,,
E_2_3_Julius_2_T1,Hmph…,1,,Julius,,9_MC_EP,,,,,
E_2_3_Julius_2_T2,Then leave me alone…,2,,Julius,,21_MO_EO,,,,yes,
E_2_3_Julius_3_T1,Alright…,3,,Julius,,3_MO_EP,,,,,
E_2_3_Julius_3_T2,Let's do this.,4,,Julius,,2_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,BBTryAgain_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_2_4_Julius_1_T1,Ready to try again Explorer?,0,,Julius,,6_MO_EP,yes,goto3,goto1,,
E_2_3_Julius_2_T1,Hmph…,1,,Julius,,9_MC_EP,,,,,
E_2_3_Julius_2_T2,Then leave me alone…,2,,Julius,,21_MO_EO,,,,yes,
E_2_3_Julius_3_T1,Alright…,3,,Julius,,3_MO_EP,,,,,
E_2_3_Julius_3_T2,Let's do this.,4,,Julius,,2_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,BBQuip_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_3_1_Darwin_1_T1,Julius!,0,Darwin,Julius,14_MO_EI,9_MC_EI,,,,,
E_3_1_Julius_2_T1,Stop talking~ Darwin!,1,Darwin,Julius,5_MC_EI,7_MO_EI,,,,,
E_3_1_Julius_2_T2,We have more challenges!,2,Darwin,Julius,6_MO_EI,9_MO_EI,,,,,
,,,,,,,,,,,
$Title,BBQuip_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_3_2_Red_1_T1,Julius!,0,Red,Julius,8_MO_EI,9_MC_EI,,,,,
E_3_2_Red_1_T2,Please~ listen to us!,1,Red,Julius,15_MO_EI,9_MC_EI,,,,,
E_3_2_Julius_1_T1,Stop! ,2,Red,Julius,5_MC_EI,7_MO_EI,,,,,
E_3_2_Julius_1_T2,I don’t want to hear it!,3,Red,Julius,8_MC_EI,15_MO_EC,,,,,
,,,,,,,,,,,
$Title,BBQuip_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_3_3_Wally_1_T1,Your highness-,0,Wally,Julius,7_MO_EI,9_MC_EI,,,,,
E_3_3_Julius_2_T1,Stop talking!,1,Wally,Julius,6_MC_EI,7_MO_EI,,,,,
,,,,,,,,,,,
$Title,BBStory_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_3_4_Darwin_1_T1,Julius!,0,Darwin,Julius,14_MO_EI,9_MC_EI,,,,,
E_3_4_Darwin_1_T2,You have to listen to me...,1,Darwin,Julius,6_MO_EI,9_MC_EI,,,,,
E_3_4_Julius_2_T1,Grrr…,2,Darwin,Julius,6_MC_EI,15_MO_EC,,,,,
E_3_4_Darwin_3_T1,Don't you see how bad you’re hurting your kingdom?,3,Darwin,Julius,12_MO_EI,9_MC_EI,,,,,
E_3_4_Darwin_3_T2,The subjects that rely on you!,4,Darwin,Julius,12_MO_EI,5_MC_EI,,,,,
E_3_4_Julius_4_T1,I…,5,Darwin,Julius,6_MC_EI,3_MO_EO,,,,,
E_3_4_Julius_4_T2,No!,6,Darwin,Julius,12_MC_EI,7_MO_EI,,,,,
E_3_4_Julius_4_T3,My friends told me it was okay!,7,Darwin,Julius,12_MC_EI,9_MO_EI,,,,,
E_3_4_Red_5_T1,But friends don't do that~ Julius!,8,Red,Julius,7_MO_EI,3_MC_EO,,,,,
E_3_4_Wally_6_T1,That’s right your highness.,9,Wally,Julius,7_MO_EI,5_MC_EI,,,,,
E_3_4_Julius_7_T1,Enough!,10,Wally,Julius,6_MO_EI,7_MO_EI,,,,,
E_3_4_Julius_7_T2,We still have more challenges!,11,Wally,Julius,6_MO_EI,9_MO_EI,,,,,
E_3_4_Red_8_T1,Alright~ Explorer!,12,Wally,Red,4_MC_EP,2_MO_EP,,,,,
E_3_4_Red_8_T2,Let’s keep going!,13,Wally,Red,4_MC_EP,14_MO_EP,,,,,
E_3_4_Wally_9_T1,You’ve got this. ,14,Wally,Red,5_MO_EP,14_MC_EI,,,,,
,,,,,,,,,,,
$Title,BBQuip_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_4_1_Darwin_1_T1,Julius!,0,Darwin,Julius,14_MO_EI,9_MC_EI,,,,,
E_4_1_Darwin_1_T2,There’s more I have to tell you!,1,Darwin,Julius,6_MO_EI,9_MC_EI,,,,,
E_4_1_Julius_2_T1,…,2,Darwin,Julius,12_MC_EI,3_MC_EI,,,,,
E_4_1_Julius_2_T2,You left me Darwin…,3,Darwin,Julius,12_MC_EI,21_MO_EI,,,,,
E_4_1_Julius_2_T3,I don’t want to hear it...,4,Darwin,Julius,6_MC_EI,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,BBQuip_2_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_4_2_Red_1_T1,You’ve got this~ Explorer!,0,Red,Julius,14_MO_EP,5_MC_EP,,,,,
E_4_2_Julius_2_T1,Hmph…,1,Red,Julius,14_MC_EI,9_MC_EO,,,,,
E_4_2_Julius_2_T2,We'll see…,2,Red,Julius,14_MC_EI,9_MO_EI,,,,,
,,,,,,,,,,,
$Title,BBQuip_2_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_4_3_Wally_1_T1,Good job~ Explorer.,0,Wally,Julius,5_MO_EP,9_MC_EP,,,,,
E_4_3_Julius_2_T1,Yeah whatever…,1,Wally,Julius,4_MC_EP,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,BBStory_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_4_4_Red_1_T1,Julius! ,0,Red,Julius,8_MO_EI,9_MC_EI,,,,,
E_4_4_Red_1_T2,You have to listen to us!,1,Red,Julius,7_MO_EI,9_MC_EI,,,,,
E_4_4_Julius_2_T1,Hmph…,2,Red,Julius,8_MC_EI,9_MO_EI,,,,,
E_4_4_Julius_2_T2,Yeah whatever…,3,Red,Julius,8_MC_EI,3_MO_EO,,,,,
E_4_4_Darwin_3_T1,Julius!,4,Darwin,Julius,14_MO_EI,3_MC_EI,,,,,
E_4_4_Darwin_3_T2,You have to believe me!,5,Darwin,Julius,12_MO_EI,3_MC_EI,,,,,
E_4_4_Darwin_3_T3,Real friends don't do that to each other…,6,Darwin,Julius,6_MO_EI,21_MC_EO,,,,,
E_4_4_Red_4_T1,Darwin’s right~ Julius!,7,Red,Julius,8_MO_EI,3_MC_EI,,,,,
E_4_4_Red_4_T2,Friends don’t let other friends do bad things!,8,Red,Julius,7_MO_EI,3_MC_EO,,,,,
E_4_4_Wally_5_T1,Exactly.,9,Wally,Julius,7_MO_EI,3_MC_EI,,,,,
E_4_4_Julius_6_T1,…,10,Wally,Julius,7_MC_EI,3_MC_EO,,,,,
E_4_4_Julius_6_T2,We still have more challenges…,11,Wally,Julius,7_MC_EI,3_MO_EI,,,,,
E_4_4_Red_7_T1,Let's finish this~ Explorer!,12,Red,Wally,14_MO_EP,4_MC_EP,,,,,
E_4_4_Wally_8_T1,Good luck. ,13,Red,Wally,14_MC_EP,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,BBQuip_3_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_5_1_Darwin_1_T1,Julius…,0,Darwin,Julius,6_MO_EI,3_MC_EI,,,,,
E_5_1_Julius_2_T1,…,1,Darwin,Julius,6_MC_EI,21_MC_EO,,,,,
E_5_1_Julius_2_T2,Let’s keep going…,2,Darwin,Julius,6_MC_EI,21_MO_EI,,,,,
,,,,,,,,,,,
$Title,BBQuip_3_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_5_2_Red_1_T1,We’re almost there~ Explorer!,0,Red,Julius,14_MO_EP,3_MC_EI,,,,,
E_5_2_Julius_2_T1,Hmph…,1,Red,Julius,14_MO_EP,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,BBQuip_3_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_5_3_Wally_1_T1,Hang in there.,0,Wally,Julius,5_MO_EP,3_MC_EI,,,,,
E_5_3_Julius_2_T1,Ugh...,1,Wally,Julius,4_MC_EP,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,BBWin_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_5_4_Red_1_T1,Hurray!,0,Red,,4_MO_EC,,,,,,
E_5_4_Red_1_T2,I knew you could do it Explorer!,1,Red,,14_MO_EP,,,,,,
,,,,,,,,,,,
$Title,End_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
E_6_1_Julius_1_T1,Huff...huff…,0,,Julius,,9_MO_EI,,,,,
E_6_1_Red_2_T1,Now~ will you finally hear Darwin out?,1,Red,Julius,8_MO_EI,9_MC_EO,,,,,
E_6_1_Julius_3_T1,Hrm…,2,Red,Julius,8_MC_EI,3_MO_EI,,,,,
E_6_1_Darwin_4_T1,Julius…,3,Darwin,Julius,6_MO_EI,3_MC_EI,,,,,
E_6_1_Darwin_4_T2,What I was trying to say was-,4,Darwin,Julius,6_MO_EI,3_MC_EO,,,,,
E_6_1_Darwin_4_T3,Oh!?,5,Darwin,Julius,5_MO_EI,10_MC_EI,,,,,
RedWally_Gasp,!!!,6,Red,Wally,5_MO_EI,6_MO_EI,,,,,
,,,,,,,,,,,
$Title,End_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,1,Marcus,Brutus,6_MC,8_MO,,,,,
E_6_1_Clogg_5_T1,You there.,2,Clogg,Julius,1_MO_EI,10_MC_EI,,,,,
E_6_1_Celeste_6_T1,Prince rudeness!,3,Celeste,Julius,6_MO_EI,10_MC_EI,,,,,
E_6_1_Julius_7_T1,W-what’s going on here!?,4,Celeste,Julius,7_MC_EI,10_MO_EI,,,,,
E_6_1_Celeste_8_T1,You’ve got a lot of nerve!,5,Celeste,Julius,6_MO_EI,10_MC_EI,,,,,
E_6_1_Celeste_8_T2,Putting not only your own subjects in danger~ but also Sylvie~ and the ocean!,6,Celeste,Julius,6_MO_EI,5_MC_EI,,,,,
E_6_1_Sylvie_9_T1,Celeste is right!,7,Sylvie,Julius,10_MO_EI,10_MC_EI,,,,,
E_6_1_Sylvie_9_T2,You put my most treasured friend in danger! ,8,Sylvie,Julius,12_MO_EI,5_MC_EI,,,,,
E_6_1_Sylvie_9_T3,And then you trashed the beaches~ putting critters in danger!,9,Sylvie,Julius,12_MO_EI,5_MC_EI,,,,,
E_6_1_Sylvie_9_T4,Have you no shame!?,10,Sylvie,Julius,10_MO_EI,3_MC_EO,,,,,
E_6_1_Bubbles_10_T1,*angry bubble noises*,11,Bubbles,Julius,13_MO_EI,10_MC_EI,,,,,
E_6_1_Julius_11_T1,W-wait! Hold on!,12,Bubbles,Julius,13_MC_EI,10_MO_EI,,,,,
E_6_1_Ollie_12_T1,You also made fun of me and my ship! My ship!,13,Ollie,Julius,13_MO_EI,10_MC_EI,,,,,
E_6_1_Ollie_12_T2,Was it not enough for you to ruin our stuff!? Our stuff!?,14,Ollie,Julius,13_MO_EI,5_MC_EI,,,,,
E_6_1_Ollie_12_T3,But you had to put us down as well! As well!,15,Ollie,Julius,13_MO_EI,3_MC_EO,,,,,
E_6_1_Julius_13_T1,H-hang on-,16,Ollie,Julius,13_MO_EI,5_MO_EI,,,,,
E_6_1_Spindle_14_T1,Y-you also h-hurt us!,17,Spindle,Julius,12_MO_EI,3_MC_EI,,,,,
E_6_1_Spindle_14_T2,N-not only did y-you think it was o-okay to ruin our  s-stuff…,18,Spindle,Julius,15_MO_EI,3_MC_EI,,,,,
E_6_1_Spindle_14_T3,But you didn't care if we got hurt in the p-process!,19,Spindle,Julius,15_MO_EI,5_MC_EI,,,,,
E_6_1_Spindle_14_T4,*nervously eats bug*,20,Spindle,Julius,14_MO_EC,5_MC_EI,,,,,
